"Time","A5"
08-09-2011 16:30:00,-0.913 m
01-10-2011 02:00:00,-0.791 m
01-11-2011 01:00:00,-0.742 m
01-12-2011 01:00:00,-0.750 m
01-01-2012 01:00:00,-0.804 m
01-02-2012 01:00:00,-0.827 m
01-03-2012 01:00:00,-0.800 m
01-04-2012 02:00:00,-0.756 m
01-05-2012 02:00:00,-0.752 m
01-06-2012 02:00:00,-0.839 m
01-07-2012 02:00:00,-0.862 m
01-08-2012 02:00:00,-0.854 m
01-09-2012 02:00:00,-0.844 m
01-10-2012 02:00:00,-0.723 m
01-11-2012 01:00:00,-0.688 m
01-12-2012 01:00:00,-0.685 m
01-01-2013 01:00:00,-0.629 m
01-02-2013 01:00:00,-0.597 m
01-03-2013 01:00:00,-0.630 m
01-04-2013 02:00:00,-0.633 m
01-05-2013 02:00:00,-0.679 m
01-06-2013 02:00:00,-0.739 m
01-07-2013 02:00:00,-0.804 m
01-08-2013 02:00:00,-0.731 m
01-09-2013 02:00:00,-0.764 m
01-10-2013 02:00:00,-0.638 m
01-11-2013 01:00:00,-0.602 m
01-12-2013 01:00:00,-0.577 m
01-01-2014 01:00:00,-0.552 m
01-02-2014 01:00:00,-0.552 m
01-03-2014 01:00:00,-0.554 m
01-04-2014 02:00:00,-0.521 m
01-05-2014 02:00:00,-0.697 m
01-06-2014 02:00:00,-0.725 m
01-07-2014 02:00:00,-0.588 m
01-08-2014 02:00:00,-0.443 m
01-09-2014 02:00:00,-0.493 m
01-10-2014 02:00:00,-0.460 m
01-11-2014 01:00:00,-0.419 m
01-12-2014 01:00:00,-0.377 m
01-01-2015 01:00:00,-0.404 m
01-02-2015 01:00:00,-0.419 m
01-03-2015 01:00:00,-0.435 m
01-04-2015 02:00:00,-0.458 m
01-05-2015 02:00:00,-0.469 m
01-06-2015 02:00:00,-0.513 m
01-07-2015 02:00:00,-0.602 m
01-08-2015 02:00:00,-0.480 m
01-09-2015 02:00:00,-0.556 m
01-10-2015 02:00:00,-0.481 m
01-11-2015 01:00:00,-0.458 m
01-12-2015 01:00:00,-0.434 m
01-01-2016 01:00:00,-0.420 m
01-02-2016 01:00:00,-0.427 m
01-03-2016 01:00:00,-0.464 m
01-04-2016 02:00:00,-0.371 m
01-05-2016 02:00:00,-0.351 m
01-06-2016 02:00:00,-0.383 m
01-07-2016 02:00:00,-0.464 m
01-08-2016 02:00:00,-0.333 m
01-09-2016 02:00:00,-0.372 m
01-10-2016 02:00:00,-0.230 m
01-11-2016 01:00:00,-0.202 m
01-12-2016 01:00:00,-0.279 m
01-01-2017 01:00:00,-0.335 m
01-02-2017 01:00:00,-0.306 m
01-03-2017 01:00:00,-0.366 m
01-04-2017 02:00:00,-0.346 m
01-05-2017 02:00:00,-0.415 m
01-06-2017 02:00:00,-0.460 m
01-07-2017 02:00:00,-0.375 m
01-08-2017 02:00:00,-0.361 m
01-09-2017 02:00:00,-0.463 m
01-10-2017 02:00:00,-0.459 m
01-11-2017 01:00:00,-0.408 m
01-12-2017 01:00:00,-0.409 m

