"Time","MAN4"
07-04-2011 13:00:00,-12.415 m
01-05-2011 02:00:00,-11.038 m
01-06-2011 02:00:00,-11.655 m
01-07-2011 02:00:00,-12.888 m
01-08-2011 02:00:00,-13.936 m
01-09-2011 02:00:00,-13.822 m
01-10-2011 02:00:00,-12.185 m
01-11-2011 01:00:00,-9.513 m
01-12-2011 01:00:00,-8.748 m
01-01-2012 01:00:00,-8.598 m
01-02-2012 01:00:00,-9.495 m
01-03-2012 01:00:00,-10.929 m
01-04-2012 02:00:00,-10.249 m
01-05-2012 02:00:00,-9.855 m
01-06-2012 02:00:00,-11.364 m
01-07-2012 02:00:00,-13.659 m
01-08-2012 02:00:00,-13.870 m
01-09-2012 02:00:00,-13.006 m
01-10-2012 02:00:00,-11.845 m
01-11-2012 01:00:00,-11.511 m
01-12-2012 01:00:00,-10.762 m
01-01-2013 01:00:00,-10.546 m
01-02-2013 01:00:00,-10.846 m
01-03-2013 01:00:00,-9.901 m
01-04-2013 02:00:00,-9.580 m
01-05-2013 02:00:00,-9.755 m
01-06-2013 02:00:00,-10.504 m
01-07-2013 02:00:00,-12.172 m
01-08-2013 02:00:00,-12.003 m
01-09-2013 02:00:00,-11.617 m
01-10-2013 02:00:00,-10.189 m
01-11-2013 01:00:00,-10.278 m
01-12-2013 01:00:00,-9.240 m
01-01-2014 01:00:00,-9.331 m
01-02-2014 01:00:00,-9.073 m
01-03-2014 01:00:00,-9.053 m
01-04-2014 02:00:00,-9.164 m
01-05-2014 02:00:00,-9.704 m
01-06-2014 02:00:00,-10.894 m
01-07-2014 02:00:00,-9.577 m
01-08-2014 02:00:00,-9.859 m
01-09-2014 02:00:00,-11.083 m
01-10-2014 02:00:00,-10.657 m
01-11-2014 01:00:00,-10.116 m
01-12-2014 01:00:00,-9.817 m
01-01-2015 01:00:00,-9.978 m
01-02-2015 01:00:00,-9.696 m
01-03-2015 01:00:00,-9.680 m
01-04-2015 02:00:00,-9.540 m
01-05-2015 02:00:00,-10.089 m
01-06-2015 02:00:00,-11.374 m
01-07-2015 02:00:00,-13.299 m
01-08-2015 02:00:00,-11.404 m
01-09-2015 02:00:00,-11.653 m
01-10-2015 02:00:00,-10.899 m
01-11-2015 01:00:00,-10.031 m
01-12-2015 01:00:00,-9.980 m
01-01-2016 01:00:00,-10.095 m
01-02-2016 01:00:00,-9.977 m
01-03-2016 01:00:00,-10.209 m
01-04-2016 02:00:00,-10.368 m
01-05-2016 02:00:00,-10.450 m
01-06-2016 02:00:00,-10.476 m
01-07-2016 02:00:00,-12.559 m
01-08-2016 02:00:00,-13.469 m
01-09-2016 02:00:00,-14.212 m
01-10-2016 02:00:00,-12.202 m
01-11-2016 01:00:00,-11.104 m
01-12-2016 01:00:00,-11.025 m
01-01-2017 01:00:00,-11.662 m
01-02-2017 01:00:00,-11.786 m
01-03-2017 01:00:00,-11.549 m
01-04-2017 02:00:00,-12.067 m
01-05-2017 02:00:00,-12.739 m
01-06-2017 02:00:00,-13.384 m
01-07-2017 02:00:00,-14.016 m
01-08-2017 02:00:00,-14.238 m
01-09-2017 02:00:00,-13.079 m
01-10-2017 02:00:00,-12.146 m
01-11-2017 01:00:00,-11.498 m
01-12-2017 01:00:00,-11.282 m
01-01-2018 01:00:00,-12.126 m
01-02-2018 01:00:00,-12.890 m
01-03-2018 01:00:00,-12.732 m
01-04-2018 02:00:00,-12.985 m
01-05-2018 02:00:00,-12.650 m
01-06-2018 02:00:00,-12.864 m
01-07-2018 02:00:00,-12.870 m
01-08-2018 02:00:00,-12.958 m
01-09-2018 02:00:00,-13.656 m
01-10-2018 02:00:00,-12.964 m
01-11-2018 01:00:00,-12.669 m
01-12-2018 01:00:00,-12.850 m
01-01-2019 01:00:00,-14.027 m
01-02-2019 01:00:00,-13.998 m
01-03-2019 01:00:00,-14.374 m
01-04-2019 02:00:00,-14.141 m
01-05-2019 02:00:00,-14.384 m
01-06-2019 02:00:00,-16.342 m
01-07-2019 02:00:00,-16.044 m
01-08-2019 02:00:00,-12.170 m
01-09-2019 02:00:00,-19.963 m
01-10-2019 02:00:00,-17.849 m
01-11-2019 01:00:00,-15.357 m
01-12-2019 01:00:00,-15.411 m
01-01-2020 01:00:00,-15.942 m
01-02-2020 01:00:00,-15.530 m
01-03-2020 01:00:00,-15.909 m
01-04-2020 02:00:00,-16.580 m
01-05-2020 02:00:00,-17.267 m
01-06-2020 02:00:00,-17.591 m
01-07-2020 02:00:00,-16.163 m
01-08-2020 02:00:00,-14.920 m
01-09-2020 02:00:00,-16.551 m
01-10-2020 02:00:00,-15.342 m
01-11-2020 01:00:00,-16.800 m
01-12-2020 01:00:00,-15.480 m

